"|","|__@type","|__asOfDate","|__drawdown","|__level","|__nineMonth","|__oneMonth","|__oneYear","|__oneYearAnnualized","|__oneYearBetas__SNP500","|__oneYearRisk","|__oneYearRiskAnnualized","|__oneYearSharpeRatio","|__placeholder","|__sinceStartDate","|__sinceStartDateAnnualized","|__sinceStartDateBetas__SNP500","|__sinceStartDateRisk","|__sinceStartDateRiskAnnualized","|__sinceStartDateSharpeRatio","|__sixMonth","|__threeMonth","|__twoYear","|__twoYearAnnualized","|__twoYearBetas__SNP500","|__twoYearRisk","|__twoYearRiskAnnualized","|__twoYearSharpeRatio","|__yearToDate"
"20141231","_bws.portfolio.returns.ReturnData","20141231","0","1","","0","","","","","","","True","0","0","","","","","","","","","","","","",""
"20150131","_bws.portfolio.returns.ReturnData","20150131","0","1.0154248509001464","","0.015424850900146392","","","","","","","False","0.015424850900146392","0.1974912285519197","","","","","","","","","","","","",""
"20150228","_bws.portfolio.returns.ReturnData","20150228","0","1.060787109350351","","0.04467318128957755","","","","","","","False","0.060787109350350886","0.4406137201501594","","","","","","","","","","","","",""
"20150331","_bws.portfolio.returns.ReturnData","20150331","0.018623453904111287","1.0410315895172892","","-0.018623453904111287","","","","","","","False","0.04103158951728916","0.17713385289141437","","","","","","","","","","","","",""
"20150430","_bws.portfolio.returns.ReturnData","20150430","0.03507164735708099","1.023583557930278","","-0.016760328661209495","","","","","","","False","0.023583557930278068","0.07347443847455848","","","","","","","","","","","","",""
"20150531","_bws.portfolio.returns.ReturnData","20150531","0.04538388774087772","1.0126444662626244","","-0.01068705293564202","","","","","","","False","0.012644466262624386","0.0308387759514952","","","","","","","","","","","","",""
"20150630","_bws.portfolio.returns.ReturnData","20150630","0.06619359093277156","0.9905698013672566","","-0.02179902782349565","","","","","","","False","-0.009430198632743464","-0.018925551865846102","","","","","","","","","","","","",""
"20150731","_bws.portfolio.returns.ReturnData","20150731","0","1.1905810571423363","","0.20191535770524177","","","","","","","False","0.19058105714233642","0.3503118313222757","","","","","","","","","","","","",""
"20150831","_bws.portfolio.returns.ReturnData","20150831","0.011763437022804676","1.1765757318560983","","-0.011763437022804676","","","","","","","False","0.17657573185609832","0.276659666496583","","","","","","","","","","","","",""
"20150930","_bws.portfolio.returns.ReturnData","20150930","0.027476207021810865","1.1578684055400472","","-0.015899806369913456","","","","","","","False","0.15786840554004716","0.21650002458046158","","","","","","","","","","","","",""
"20151031","_bws.portfolio.returns.ReturnData","20151031","0","1.3527236458951277","","0.16828789819530232","","","","","","","False","0.3527236458951276","0.43726622414148575","","","","","","","","","","","","",""
"20151130","_bws.portfolio.returns.ReturnData","20151130","0","1.4132212980671728","","0.044722846647670254","","","","","","","False","0.41322129806717284","0.45932437568826745","","","","","","","","","","","","",""
"20151231","_bws.portfolio.returns.ReturnData","20151231","0","1.4442098799837704","0.3872872778562167","0.02192762163928605","0.4442098799837705","0.4442098799837705","1.2330679112617637","0.07506691444043051","0.26003941955650295","1.7071758595829412","False","0.4442098799837705","0.4442098799837706","1.2330679112617637","0.07506691444043051","0.26003941955650295","1.7071758595829414","0.4579587203146784","0.24730053352666564","","","","","","","0.4442098799837705"
"20160131","_bws.portfolio.returns.ReturnData","20160131","0.020990617719834483","1.413895022485823","","-0.020990617719834483","","","","","","","False","0.4138950224858231","0.3760749353856454","","","","","","","","","","","","",""
"20160229","_bws.portfolio.returns.ReturnData","20160229","0.0805266789867191","1.3279124545888692","","-0.06081255434776522","","","","","","","False","0.32791245458886925","0.2765278664605202","","","","","","","","","","","","",""
"20160331","_bws.portfolio.returns.ReturnData","20160331","0.01835544812309976","1.4177007604528602","","0.06761613354382616","","","","","","","False","0.41770076045286025","0.3231248031728968","","","","","","","","","","","","",""
"20160430","_bws.portfolio.returns.ReturnData","20160430","0.08679912861355142","1.3188537208660975","","-0.06972348632668274","","","","","","","False","0.31885372086609753","0.23156476944995275","","","","","","","","","","","","",""
"20160531","_bws.portfolio.returns.ReturnData","20160531","0.030521381422720616","1.4001305993823243","","0.06162690920934872","","","","","","","False","0.40013059938232426","0.2688036460932921","","","","","","","","","","","","",""
"20160630","_bws.portfolio.returns.ReturnData","20160630","0.08799992164580193","1.3171195237051057","","-0.059288094777615326","","","","","","","False","0.31711952370510565","0.20217922514863496","","","","","","","","","","","","",""
"20160731","_bws.portfolio.returns.ReturnData","20160731","0","1.4630611435548566","","0.11080362656777856","","","","","","","False","0.46306114355485656","0.2721611276571878","","","","","","","","","","","","",""
"20160831","_bws.portfolio.returns.ReturnData","20160831","0.002259703114249933","1.4597550597324276","","-0.002259703114249933","","","","","","","False","0.4597550597324276","0.25493731494074967","","","","","","","","","","","","",""
"20160930","_bws.portfolio.returns.ReturnData","20160930","0","1.4792423505021008","","0.01334969907434006","","","","","","","False","0.4792423505021008","0.25106408060534724","","","","","","","","","","","","",""
"20161031","_bws.portfolio.returns.ReturnData","20161031","0","1.493036875341404","","0.009325398799338648","","","","","","","False","0.49303687534140395","0.2444321373154399","","","","","","","","","","","","",""
"20161130","_bws.portfolio.returns.ReturnData","20161130","0.03377738626380297","1.4426059920968959","","-0.03377738626380297","","","","","","","False","0.4426059920968959","0.21088498186091242","","","","","","","","","","","","",""
"20161231","_bws.portfolio.returns.ReturnData","20161231","0.01621196445943183","1.468831814581748","0.036066182339180505","0.018179477021810775","0.01704872327715566","0.01704872327715566","0.9360926516053969","0.05625231482555953","0.1948637346424582","0.07414013195067172","False","0.46883181458174794","0.21195371800318674","1.0555558006278956","0.06672993931329481","0.23115929055322887","0.9106932786262227","0.11518490778260583","-0.007037748693998091","0.46883181458174794","0.21195371800318674","1.0555558006278956","0.06672993931329481","0.23115929055322887","0.9106932786262227","0.01704872327715566"
"20170131","_bws.portfolio.returns.ReturnData","20170131","0","1.516348339954455","","0.03234987484679281","","","","","","","False","0.5163483399544551","0.22100372211017372","","","","","","","","","","","","",""
"20170228","_bws.portfolio.returns.ReturnData","20170228","0","1.566619504521685","","0.033152781087714904","","","","","","","False","0.5666195045216851","0.23081350738231166","","","","","","","","","","","","",""
"20170331","_bws.portfolio.returns.ReturnData","20170331","0","1.5787035201046125","0.19860308171855312","0.007713433637235966","0.11356610939555588","0.11356610939555588","1.1237129617735149","0.04969849390487895","0.17216063300580503","0.6422188099687054","False","0.5787035201046126","0.2253719647848862","1.0334033493807908","0.062922153531543","0.2181348051167903","1.0251698778871892","0.06723791376629498","0.07480210084784329","0.5164799377861663","0.2314543993937277","1.1292529656080497","0.06621676150567954","0.22938159048101597","1.000551542263246","0.07480210084784329"
